Placename,Type,CoordinatesFILLTHIS,Latitude,Longitude,Description,Stars1_5,Notes
Aalborg,cultural monument,"57.0482555,9.913457",57.0482555,9.913457,Our Lady Streetart in Aalborg,3,Adela's example
Bornholm,cultural monument,"55.1021065,14.696381",55.1021065,14.696381,Store Torv,4,Main Square
Skævinge,fun,"55.9080206,12.1468987",55.9080206,12.1468987,Skævinge Kro,4.3,Local Inn
Sæby Havn,Harbour,"57.3335356,10.5305373",57.3335356,10.5305373,Harbour in Sæby with a beautiful ocean view and great ice cream,5,Beautiful ocean view
Christania,cultural monument,"55.673650209833504, 12.60235061872458",55.67365021,12.60235062,Free habour,4,
Thyregod Kirke,Church,"55.9077877,9.2586049",55.9077877,9.2586049,12th century church in Thyregod where N. F. S Grundtvig had his confirmation,3,
Granola,fun,"55.67338452296046, 12.549606455177546",55.67338452,12.54960646,Restaurant,3.9,
Bon bon land,fun,"55.26092799642644, 11.863166997480242",55.260928,11.863167,amusement park,4,
Agtrup Vig,Lookout,"55.488248, 9.573526",55.488248,9.573526,Scenic outlook,4,
Haldum Bybrønd,Historical Water Source,"56.27933172304615, 10.037403642505874",56.27933172,10.03740364,"Cold water runs out of a pipe in a rock. It is called a ""historical"" water source, supposedly from the town's medieval past.",,
Okkels,icecream,"56.160507, 10.208670",56.160507,10.20867,Best icecream in Silkeborg,,
,,"56.1053065,9.6848622,15",56.1053065,9.6848622,15,,
Ribe Domkirke,Church,"55.325504,8.7510196",55.325504,8.7510196,Church in an amazing city,5,
Café Alpha,Bar in Aalborg,"57.0492328,9.9152251",57.0492328,9.9152251,,,
Lillis isbar,Ice cream in Kolding,"55.4922081,9.4708116",55.4922081,9.4708116,,,
Studenterbaren,Stud,"56.1712122,10.1977241",56.1712122,10.1977241,Best place to get a beer in Aarhus (and Somersby on draft),,
Industrimuseet,Museum,"55.8603021,9.8585921",55.8603021,9.8585921,Really good local museum,,
David Breadhead,Bread,"56.160642627071915, 10.204994360516942",56.16064263,10.20499436,,,
Højbjerg,Shop,"56.0870937,10.2466558",56.0870937,10.2466558,Icecream shop by the beach,4.3,
Kalø slotsruin,Ruin,"56.2739212,10.4677599",56.2739212,10.4677599,The ruins of a 700 year old castle,4,
Aarhus centrum,Coffee shop,"56.1587552,10.2078261",56.1587552,10.2078261,"An amazing place to get a cup of coffee, (name: La Capra)",5/5,
Silkeborg Bunkermuseum,Museum,"56.152715,9.5240877",56.152715,9.5240877,"Museum about the german occupation, in the bunkers built as the headquarters for the wehrmacht in Denmark",5,
Aalborg,Café,"57.0491372,9.9174083",57.0491372,9.9174083,A place to get Brunch,4/5,
Mine bedsteforældres sommerhus,Cabin,"56.2741079,9.6592636",56.2741079,9.6592636,A good place to relax,5,
VRH hallen,Sport facility,"56.1930152,10.2082307",56.1930152,10.2082307,Training facility of Bakken Bears ,2,
Hjemme hos Mor og Far,Recidence ,"56.2452003,10.2377825",56.2452003,10.2377825,Altid god mad,5,
Lønstrup ,Small town ,"57.4754307,9.7680579",57.4754307,9.7680579,Nice small town with hyggelige stores ,5,
Café Fru Dax,Café,"55.1460564, 8.494349",55.1460564,8.494349,A café where you can get the best icecream in Denmark,5,
Den Høje Stue,Bar in Svendborg,"55.0589708,10.6100396",55.0589708,10.6100396,Great place for drinking a cold beer,,
Koldinghus,Slot,"55.4916234,9.4716824",55.4916234,9.4716824,Old castle in the middle of historic town,4.5,
Lounge8000,Bar,"56.1548763,10.2092171",56.1548763,10.2092171,Cultural institution,,
Slusekiosken,Coffee shop,"56.170155976798284, 9.554475098848348",56.17015598,9.554475099,Ice cream and canoe rental,,
Silkeborg Højskole,School,"56.179819151386404, 9.591065794229253",56.17981915,9.591065794,,,
Filsø,lake,"55.702555, 8.209194",55.702555,8.209194,lake with lots of birds,,
den genfundne bro,bridge,"55.97286, 9.68971",55.97286,9.68971,historical old brigde,,
Holstebro Kunstmuseum,Museum,"56.175361,10.1894474,3251",56.175361,10.1894474,3251,5,
Låsby Kirke,Church,"56.1562851,9.806168,442",56.1562851,9.806168,442,,
A. Walsteds Bådeværft A/S,Beach,"55.0417481,10.662179",55.0417481,10.662179,The best place for Swimming and døds'ing,,
Udsigtspunktet i Risskov,Vista,"56.168538,10.218409",56.168538,10.218409,,,
Kulturbodega Bellis,Cafe/bodega,"56.1584199,10.2077864",56.1584199,10.2077864,Lovely cafe/bar with cool events (and vollunteers ;)),,
Admiralen ,brunt værtshus,"56.1673431,9.5478373,17",,,Great place to grab a beer and play games,,
Vinstuen,Bar,"56.1552065,10.2054134",56.1552065,10.2054134,,,
Frøstrupvej,Hus,"55.737213, 8.426067 ",55.737213,8.426067,Place i grew up:),,
,,,,,,,
Jellingmonumenterne,Unesco world heritage,"55.75651204730038,9.419493340957022",,,"First Danish contribution to UNESCO, and awesome place to grow up :-P",,
Gazzværket,Klub,"55.04517753540775,9.42328253797765",,,,,
Byens ismejeri,is sted,"56.1668364,10.2000172",,,ynglings is,,
Fleggaard Harrislee,Border shop,"54.794984843845654, 9.380326529791919",54.79498484,9.38032653,Place to buy cheap beer and alcohol,4,Buying beer within the border of Gemany is typically cheaper
Lecoq,Bar,"56.158814519314085, 10.210771598060955",56.15881452,10.2107716,Charteuse likør shot,5,Probably one of the best bars in Aarhus
Fregatten Jylland,Flot skib,"56.1991839,10.6713027",56.1991839,10.6713027,Det smukkeste skib i det danske farvand,,
Café damita,Café,"56.1683106,9.5450311,389",56.1683106,9.5450311,Lille hyggelig café i Silkeborg,,
,,,,,,,
P. Clausens Fiskehandel,Fishman,"56.16497876175817, 10.218889642399688",56.16497876,10.21888964,Place to get fishes for eating,,
Folketinget,Government,"55.67577104774068, 12.580370529513543",,,A place for the craziest people,,
,,,,,,,
,,,,,,,
,,,,,,,
Minigolfbanen i Saxild,Bar,"55.974678624559566,10.24971795337479",55.97467862,10.24971795,A nice place with good people during the summer,,
Rude Strand,Beach,"55.9906010454951,10.254396001175094",55.99060105,10.254396,Probally th best beach in Denmark,,
Ali baba grill,Fine dining,"56.15783614775556, 10.206078954999365",,,,,
Arena Aa,,"55.03867168260869, 9.409738226332099",,,,,
Rødding højskole,Højskole,"55.3701611152581, 9.05297687043331",55.37016112,9.05297687,Cultural institution ,,
